Sl. No.,State/ UT,Abbreviation,X,Y
1,Andhra Pradesh,AP,-90,-205
2,Arunachal Pradesh,AR,277,124
3,Assam,AS,235,71
4,Bihar,BR,66,57
5,Chhattisgarh,CG,-10,-37
6,Goa,GA,-210,-205
7,Gujarat,GJ,-252,-4
8,Haryana,HR,-136,152
9,Himachal Pradesh,HP,-125,228
10,Jammu And Kashmir,JK,-175,290
11,Jharkhand,JH,60,10
12,Karnataka,KA,-161,-217
13,Kerala,KL,-165,-304
14,Madhya Pradesh,MP,-104,3
15,Maharashtra,MH,-162,-92
16,Manipur,MN,261,31
17,Meghalaya,ML,203,47
18,Mizoram,MZ,234,-1
19,Nagaland,NL,283,61
20,Orissa,OR,67,-59
21,Punjab,PB,-164,185
22,Rajasthan,RJ,-192,85
23,Sikkim,SK,142,109
24,Tamil Nadu,TN,-102,-299
25,Tripura,TR,185,8
26,Uttarakhand,UK,-80,177
27,Uttar Pradesh,UP,-55,84
28,West Bengal,WB,122,-8
29,Telangana,TS,-84,-137
30,Andaman And Nicobar,AN,230,-307
31,Chandigarh,CH,-161,212
32,Dadra And Nagar Haveli,DH,-305,-98
33,Daman And Div,DD,-290,-88
34,Delhi,DL,-116,130
35,Lakshadweep,LD,-233,-312
36,Pondicherry,PY,-60,-277
